List,Card Name,Description,Labels,Priority,Phase
Done,Phase 0 project audit,"- Priority: Done
- Output: `PROJECT_AUDIT.md`
- Notes: Static audit produced structure, dependencies, scripts, resources, assets, duplicates, missing references, and priorities.",,Done,
Done,Coin frame optimization,"- Priority: Done
- Output: 7 coin PNGs resized from 800x800 to 96x96; scene scales adjusted to preserve visible size.
- Notes: Invisible in-game by design; reduces source asset size.",,Done,
Done,Restore missing projectile and platform textures,"- Priority: Done
- Output: Restored fireball frame folders and `box.jpeg` from sibling backup project.
- Notes: Fixes major broken image references without replacing art.",,Done,
Doing Now,Phase 1 reference validation,"- Priority: High
- Goal: Get image references to zero missing runtime assets, except addon-only fallbacks that are harmless.
- Checklist:
  - Rerun missing `res://` image scan.
  - Confirm restored projectile frames match `fire_ball.tscn`.
  - Confirm moving platform `box.jpeg` exists.
  - Note any addon-only missing references separately.",High,High,
Doing Now,Phase 1 safe asset wins,"- Priority: High
- Goal: Optimize only asset groups whose displayed sizes are understood.
- Candidate batches:
  - Coin frames: done.
  - Projectile frames: inspect dimensions and displayed scale before resizing.
  - `bgAssetsNight.png`: high waste, but used as an atlas in several scenes, so only resize after mapping all regions.
  - `props 2.png` and `props 1.png`: high value, but TileSet/region dependent, so require careful atlas audit.",High,High,
Next,Install or locate Godot CLI/editor,"- Priority: High
- Why: Static checks are not enough. The project needs editor import/dependency validation.
- Done when:
  - `godot --version` works, or the exact Godot executable path is documented.
  - Project opens with import cache regenerated.
  - Missing dependency warnings are captured.",High,High,
Next,Finish Phase 1 asset optimization,"- Priority: High
- Why: Assets are the largest source of repo bloat and broken references.
- Done when:
  - Referenced oversized images are resized only when safe.
  - Unused assets are removed only after confirmed zero references.
  - `CHANGELOG.md` explains every non-trivial asset decision.
  - All scenes open with no broken texture references.",High,High,
Next,Phase 2 folder organization plan,"- Priority: High
- Why: The repo currently mixes runtime assets, reference packs, scenes, scripts, and addons.
- Done when:
  - Final target folder map is approved.
  - Move list is generated.
  - Risky path moves are grouped into small commits.",High,High,
Next,Move runtime assets into clean folders,"- Priority: High
- Depends on: folder organization plan.
- Done when:
  - Runtime art is under `assets/`.
  - Reference/source packs are separated or clearly marked.
  - Scene/resource/script paths are updated.
  - Godot opens without missing dependency errors.",High,High,
Next,Move scenes into gameplay folders,"- Priority: High
- Depends on: runtime asset move.
- Done when:
  - Levels, player, enemies, UI, traps, collectables, camera, and managers have clear homes.
  - No scene node hierarchy changes yet.",High,High,
Backlog - Architecture,Normalize top-level level scene structure,"- Priority: Medium
- Phase: 3
- Done when: each gameplay scene uses a predictable grouping such as Player, EnemySpawner, TileMap, Objects, Camera, UI, Navigation, Audio, Triggers.","Medium,3",Medium,3
Backlog - Architecture,Remove dead and empty nodes,"- Priority: Medium
- Phase: 3
- Done when: empty containers and redundant nesting are removed without changing behavior.","Medium,3",Medium,3
Backlog - Architecture,Split `Scripts/WebtoonReader.gd`,"- Priority: High
- Phase: 4
- Why: 805 lines, too many responsibilities.
- Suggested split: loading, navigation, zoom/scroll UI, input/touch handling, overlay state.","High,4",High,4
Backlog - Architecture,Split `Scenes/Levels/td_player.gd`,"- Priority: High
- Phase: 4
- Why: 587 lines, mixes movement, animation, combat, hiding, damage, and top-down/platformer modes.
- Suggested split: movement, animation, combat/damage, hiding interaction, mode controller.","High,4",High,4
Backlog - Architecture,Split `skeleton_orange.gd`,"- Priority: High
- Phase: 4
- Why: 565 lines, mixes platformer AI, top-down AI, combat, search, return, health, and effects.
- Suggested split: stats, sensing, movement, combat, state behavior.","High,4",High,4
Backlog - Architecture,Convert magic numbers to resources/constants,"- Priority: Medium
- Phase: 4
- Done when: enemy stats, player movement values, level timers, rewards, and damage values are named or data-driven.","Medium,4",Medium,4
Backlog - Architecture,Replace fragile node paths,"- Priority: Medium
- Phase: 4
- Done when: relative lookups are replaced with exported `NodePath`s, signals, groups, or autoload references.","Medium,4",Medium,4
Backlog - Levels,Map existing Godot levels to 19 prototype segments,"- Priority: High
- Phase: 7
- Done when: every PDF/HTML segment has a Godot scene status: implemented, partial, missing, or mismatch.","High,7",High,7
Backlog - Levels,Create reusable level archetypes,"- Priority: High
- Phase: 7
- Candidate archetypes:
  - Tutorial coin collection.
  - Timed chase.
  - Survival arena.
  - Combat wave.
  - Boss arena.
  - Exploration plus coins.
  - Auto-scroll escape.","High,7",High,7
Backlog - Levels,Verify Chapter 1 segments,"- Priority: High
- Phase: 7
- Segments: Bush Maze Sneak, Treasure Chase.","High,7",High,7
Backlog - Levels,Verify Chapter 2 segments,"- Priority: High
- Phase: 7
- Segments: Shadow Flood, Boss Dodge, Reinforcement Wave.","High,7",High,7
Backlog - Levels,Verify Chapters 3-8 segments,"- Priority: Medium
- Phase: 7
- Done when: all remaining segment mechanics, timers, enemy counts, coin targets, hazards, and win conditions are checked against PDF/HTML.","Medium,7",Medium,7
Backlog - Data And Save,Audit current save data,"- Priority: Medium
- Phase: 8
- Done when: current tracked data is listed and mapped to player, coins, story flags, inventory, level completion, and settings.","Medium,8",Medium,8
